,cleaned_text
751," Last night I was dreaming that I had three classes to go to and that they were in the afternoon. The first one started at like :, and why I keep dreaming about having to go to classes, don’t ask me. I’m sick of dreaming that. But anyway, my first one started at : and it was like : and Mom was sitting at the dining table just writing and stuff like that, and I was telling her, “You should go get the truck and bring it around. I’m going to be late for class.” And she said, “No you won’t; you’ll be fine.” But it got to the point where I was shaking her by the shoulders and yelling and crying, telling her to get moving because I was going to be really late for class. And it was kind of hard because I was just screaming. And I can’t remember, but I think it was like, “Yeah, yeah, yeah,” kind of blah. Then I was in this party room with these people and it was supposed to be something like a dance performance thing. It was going to be filmed on live TV and I was just kind of in the audience with the people. And it was a small room with a kind of a wooden floor, and it was, I think it was for the show “Fame” and I had the notion that “Crispen” won it last year—who the heck Crispen is, I don’t know. And I was going in and out this room and going to the bathroom and few times, and then I came back and I was sitting around with people and they were talking about what they were going to do. And this one girl was doing some homework and needed to use bright  calculator, and it was really acting funny and we couldn’t figure out why. And then suddenly I was, it was Dad out at this little tiny building that I guess resembled the church that we had the party at, but it was more like a movable portable facility than that. And we had to go there for some kind of business, but I wasn’t real keen on going in there because I had heard that their alarm system was real unreliable and could pretty much go off at any time when somebody so much as shook the place the wrong way. And so I stood back a few feet while they opened the door, and things were okay in there. And in my dream I really had to go to the bathroom, but I didn’t want to because I was afraid that sitting down on the toilet and going would either make the alarm off or I would be lucky enough to be in there when, just happen to. So I didn’t, I kept walking around for a little bit, doing different things, getting stuff ready for some kind of event. And I finally went to the bathroom, and then I woke up, and I had to go when I woke up."
752,"My first dream was that it was exam time and I had taken every exam except for Spanish. For Spanish, I had to clone people. Jackson was right in front of me doing the same thing. The clones came from every room, and it was impossible to keep track of them. Finally, Sra. Perez said we had made enough and that we could leave. I had had a lot of feelings towards Jackson lately. He brought me into Tinker into an empty room. We weren't doing anything except kissing, but the whole time in there felt really sexual. He had his shirt off or something, but it felt like we were doing more than just kissing, even though we weren't Anyway, we were there for awhile before the person who lived there came back and kicked us out. We were holding hands as we left. We went to the library to start studying for another exam, which was weird since we were done with our exams. Then we had Fun Friday. It was the weirdest one ever, but it was everyone's favorite. There was a monster onstage plus  students. The monster could see one person, but not the other two. We all had to kill the monster, but the more people that came on stage, the more the monster could see us. He could also hear us. I remember looking at my watch and realizing an hour had gone by. Then I woke up."
753,"I dreamed that I had bought the brand new Synergy hockey stick, and I couldn't wait to use it. There was a pick up hockey game some winter night when we were getting snowed in. When I picked up, however, I realized that I had bought a righty instead of a lefty. I was so disappointed at myself for my foolish mistake. No matter how hard I tried, the stick stayed righty. All the other girls laughed at me. Then I started a new dream that was at my brother's  grade parent-teacher conferences. I was really bored and kept falling asleep until the teacher used me as an example of the student who had perfectly gotten through elementary and middle school, and that I was doing excellent now as well. Then another woman engaged me in a conversation about Pirates of the Caribbean but I fell asleep . Then I woke up in real life."
754," This is Christmas Eve, . Last night I had kind of a hodgepodge dream of various different things. I don’t know what came first, but I’ll start with what I remember best. I dreamt that I was in this group of people. I think we were either singers or performers or something. And we were in a band room and we were kind of being taught by a man, but instead of rehearsing or stuff, we were talking about Greek mythology and we were talking about how to go around and take the path and the journey to find Theseus . I guess the ____ stories are going to my head. And so we decided we were going to take this little jaunt, trip so maybe we would finally understand how it went. And Mom was kind of volunteering with that and she came back to get me because everybody kind of left me behind. And everybody was going on their way and Mom was driving me in this van that is like the yellow cab van, except it wasn’t yellow, it was brown. And it had like a two-way radio in it and I could hear Sparky talking. He’s the cab dispatcher. And, oh, Mom was showing me that she bought these pins of like different figures for people to wear, and I was like dressed in this costume. And I don’t remember ever getting there. And before that, I dreamt that I was investigating around by the tree, and that I had a longer, a box that was longer than it was wide and kind of not that high, and heavy and dense, and it was wrapped in green paper. Now I don’t know if this is a prophetic image or if it’s just wishful thinking, but I tend to believe it’s just wishful thinking. And now I don’t remember any more."
755,"I dreamed that I was PERFECT in every way: looks, sports, brains, personality, talent, etc. I was perfect. So I was running around with this really tall, dark, handsome guy. We were by the ocean and he said he'd love me forever. Then I realized I was just a character for a John Updike story, so I was really scared and wanted to see the ending, but I was woken up instead for Christmas."
756,"I remember a portion of this dream. I was in my apartment  and some people were over and they were about to leave, but I didn't want them to go. I seemed to be feeling very sorry for myself in the dream. As the last friend goes to walk out the door I make a comment like ""Life really sucks"" which makes her come back in and talk to me. Obviously I said it just to get her to stay. Another portion I remember there was this bees nest outside of my apartment and we wanted to figure out how to get rid of them. We did something to make them leave their nest, I remember seeing them all fly off, they didn't try to sting us or anything. "
757,"First I dreamed that I was babysitting Layla. I was trying to do everything perfectly since her dad was my soccer coach. We went to the ocean and came back to her house to bake cookies. We were just rolling out the dough when her mom came back and paid me. Next, I was in some really fancy modern Japanese-style house. Every time I finished a homework assignment, I was allowed to get up and get a piece of candy. The thing was --the assignments never seemed to end. No sooner would I finish one then I would have another one. Finally it was study hall and I was working with Ava, Isaiah, and Beth. It was weird because I think Isaiah liked me. Then I woke up."
758," Last night I had kind of a whacky dream. I dreamt that I was attending this special school for like handicapped people, I guess because they were an institution known to do a lot of help for people and make a lot of things go well for people, and so they thought it would be good for me to go and visit them and see what they could do for me. And, believe it or not, it was like this private school, K-, and since this was my first year with them, they put me in a first grade class. And I went to this first grade class for two days, I think, and then I realized that this was not just a health institution that would try to help you. This was a school that they were going to try to put you through their twelve years of education no matter how old or young you were, and how many you’d already been through. And then the scene kind of shifted, and I was like, I had a place that I had, somebody had given me. It was a dinky little apartment thing, and I was living on my own. Actually I was living on my own part of the time and living at home part of the time. And I was in this dinky little apartment getting some work done and stuff, and I called home and it was : in the evening and Mom and Dad were like, “Where the heck are you? If you’re going to leave the house, you tell us first.” They didn’t even know I had this place. And then I was, I think it was the next day, and I was going back to this place, I was going to bring them my high school diploma, show them that I had already graduated, show them that I was in college now and disconnect myself from them. So I went in the office and I had my high school diploma, and I chatted with the ladies; they seemed really nice. And I just told them, “I don’t wish to take any more classes here. Thank you.” And I walked out, and I showed them, and they seemed so impressed. I couldn’t figure out what were they so impressed about? And I think shortly thereafter I was kind of in the phase of stage  sleep and waking up, and I was thinking how, I had the notion that the campus that I attended now of my college was really called Panella’s Park High and it just had facilities for college students in the back forty, kind of like. But when I was fully awake, I realized that I was still attending my college. How come I keep having dreams about these educational conflicts? I keep dreaming that I’m back at my high school or that I’m not really where I am yet, I think because it’s still for me to even believe."
759,"I dreamed that there was some sort of Olympics at school. There were  big events. Halfway through one I ran to Taylor for some reason just to hang out, I guess. Next day I was watching the real Olympics. I realized I had hockey practice, so I ran to Bundy to get ready. I was really panicked because I couldn't find my watch or something. When I got there, someone had died. We had this huge underclassmen funeral. Then I was in a department store of some sort. Someone else was with me and there were these two sort of scary-looking men, who wanted to buy us jewelry. We found two pairs of earrings we liked, and they went to buy them for us. The woman at the counter said they were Tiffany earrings, but somehow I couldn't believe her. There were  little dogs there too and they were yapping all over the place. So then I was at Hogwarts. Professor Snape was looking all over the place for me. I accidentally set off a charm that made all these bombs explode. The whole school rushed into the hallways. We had to bring as much money outside as possible. It was freezing outside. But then I woke up."
760,"I dreamed that Jackson and I were on a bus on the way home from my elementary school. He jumped out of the bus to run to my house. It was pouring rain, so we had to change into dry clothes. I was changing when he walked in and saw me. I wasn't embarrassed, for some reason. But there was something I was trying to hide in my closet, so I was worried that he would find it. Then I woke up."
761," Last night I had a whacky dream. I dreamt that Mom and I were coming home from a trip to my relative’s home town and we were outside the airport and Josie and Bobby and Christine and Larry and her and I were opening gifts. And the plane was going to leave in five minutes. Then it came down to that we missed the plane because we were opening gifts, and I figured, “Okay, we’re just going to have to stay in my relative’s home town for a few more hours until the next outgoing flight.” And that was kind of good because we could go to somebody’s house and stay a little longer. Well, it just so happened that – I know this is very unrealistic – but Dad drove all the way up from my home town because he somehow found out that we missed the plane. See, we were going to tell him that our flight was cancelled, but somehow he found out that we missed the plane. And so he drove up and he was going to get us and bring us home, and he was mad, mad, mad at that old red hen, hen, hen. And we also missed the Bryan Adams concert and I was jumping up and down and saying that, “You have to take me to an equivalent one.” Something else, but I can’t remember. And that’s basically it. When I was waking up and realized that all this was a dream and that missing the plane was a dream and the concert was still on, I was real relieved."
762,I dreamed that I was in this train station going to a concert with my whole chemistry class. That's all I can remember.
763,"I dreamed that I was back in  grade and had to make a poster about the solar system. So I made it and brought it into school. The presentations were held in the lunchroom. The presentations started and I realized how inadequate my work was. So I shifted my posters around until I found the best one I had made about the Scientific Revolution and the Enlightenment. I used that and presented, and did very well. Then I had some dream about Jackson, that I was talking to him through a wall. I also dreamed I woke up next to him. Then I woke up."
764," Last night I had two really funny dreams. The first one, I had the notion that I was interning at some kind of TV station like Time Warner, yet it was kind of like the Dome at where I was. And I think it was, I couldn’t really figure out what it was, but I was in this control room and I had like all kinds of video equipment and a small mixing board in the back. And there was this real crowd of people in there. I couldn’t figure out who they were, but this one guy was supposed to be the manager and his name was Sam, kind of like the guy we missed at Wussaker  Hall, and there were a couple of guys that I thought I know, and there was a whole bunch of people that I didn’t even know that I was kind of wondering why the heck were they there. And we were supposed to get this show on the road, and I was supposed to help somebody with something. And there were about four or five people crowded behind the board trying to do all do the same thing at once. Gee, where have I heard this before? And, of course, I was just kind of sitting in a little corner observing all this commotion and ruckus going on, and then I kind of faded into another scene where I was walking down the sidewalk and I had to go through an obstacle course. And I was trying to tell somebody about my experience when I was going through an obstacle course. And one of the things I had to go through – I didn’t really have to go through anything but this one thing. In front of Jean’s house where she has that fence, white picket fence, it kind of came out to the sidewalk and enclosed and made a box, and I had to crawl in the box and they close the door and then open it on the other side so I could get out. So when they closed the box, it was so small and tight, I could barely move through it, and there was a top on it like I was in a bunny cage. And then I came out the other side of the bunny cage and I went on my way and I was okay. But when I was in the bunny cage, I thought I’d never get out of it. I think this came from when I was like  and used to sit in the bunny cage and feed the bunny, but I never used to mind because I could get out from the inside. Anyway, the next little dream I had after I kind of woke up from it and went to the bathroom and stuff, is that I was back at my high school again – I can’t get away from dreaming about my high school and other schools I’ve been to . But anyway, it was either – I think it was a cross between my high school and my elementary school. And I was skating on roller skates through the hallway, I think because I was just there to kind of help out with something. I wasn’t really there to actually go. And I can’t remember too much except I was in PE class again, and we were doing jumping jacks out in the courtyard thing. And, you know, I can’t remember anything more. That’s a bummer."
765,"In this dream I was at my mom's house . Me and a friend dropped some E but it never really kicked in. Then I remember trying to call someone and I couldn't seem to get through to them . I was pissed so I started banging the phone against the receiver and ended up breaking it. Oops. I was worried my mom would be upset since it's her phone. Then my mom and a bunch of other people come in, I start freaking out  because I knew I had dropped E and didn't want them to know. I didn't want to be all high in front of them. I was very stressed out by this. That's all I remember."
766,"I dreamed that my brother and I were electricians of some sort and had to install TVs into houses/trailers in a trailer park. It was scary because the trailer park was next to a chemical plant, so it was always releasing chemicals and other horrible things into the air. And it was really loud. The trailer we were working on was constructed like an airplane. My brother and I tried to figure out how to fly it, but couldn't. So then I dreamed it was exam period. I had an  math exam, but for some reason instead of going to the classroom, I went to the movie theater to see Love Actually. This didn't seem at all weird though. Caroline went in and told me she'd save me a seat while I went to get ice cream. I wanted Butterscotch ice cream, and there was only one vendor that had it. My mother was in the line ahead of me. As soon as it was my turn, the woman closed everything up. I was really annoyed and went upstairs. All these junior and senior boys I didn't know were there. I really wanted this butterscotch ice cream, but no one had it. Instead I just had some diet coke. Everyone was leaving the movie theater, so I guess I missed the movie. I found my friends and realized that my dress had fallen off. I left hurriedly, thinking it was just a trick of my mind, hoping it was just a trick of my mind. I saw Lou walking out of the dining all. He was carrying something and his hair was really short. I noticed he was wearing these terrible looking shoes, and I decided that I should stop liking him for that reason. I went back to my friends and all of a sudden I was looking into a deep abyss, like where Mordor is in Lord of the Rings. I ran away as fast as I could and ran into my math teacher, who noticed I had missed the exam! Thank god I woke up!"
767,"I dreamed that Sue and I were in a car together. Isabel called our Spain program to see if she got in. They said she had. So then I called to ask if I got in, and they said I hadn't, but that there was a program in Russia if I was interested. For some reason if I wanted to go to Russia, I had to learn Latin, which wouldn't have been so bad. I remember telling myself that this was a dream and waking myself up."
768," Last night I had kind of a strange dream, that for some reason we were going to a Giants game, but I wasn’t going to like do any DJ’ing or anything like that. I was going to like sit and watch the game, and we were hoping that I could like sit in the press box and go to the sound booth or something like that. And we were describing who we were and Mom just casually mentioned that I graduated from high school. And the lady whisked us and said, “Here, let’s put you in the graduate section.” And there was a VIP area for people who had graduated from high school. And she took us off down this little hall and brought us in this little booth. It was kind of like a sound-proof booth. And they passed out – there were like five of us in there and there was one lady. I was sitting up on a high stool so that I could actually see down and out the window what was going on. And, of course, I couldn’t always see what was going on in the field, but I could see all the people in the bleachers and stuff. And this lady was like in her ’s, and she was like, “Can I trade with you?” And so I sat on the far right, down on the lowest stool I could, and I couldn’t even see up above the window. And she sat in the middle in between like the five of us. There were like three boys and only two girls. And she passed out like snacks and little prizes to us; it was like complimentary things that came with being in that section. And we were supposed to get to hear all kinds of like inside stuff, but they didn’t send it over our system. Ours – and get this – this was the craziest part – the system that they had us hear did not carry the songs that, the periodic songs and announcements that Bobby mixed, and apparently we were just supposed to watch the game without sound. And they played teenage rap and R&B stuff over the system that we heard. And that was crazy. I wanted to hear Bobby’s mix. And I was thinking about how, when I was there at regular games in the sound booth, and I got to listen in on him talking about what to do and when to do it, I missed hearing all that because that was like really the inside scoop, the ultimate inside scoop. And, of course, to be able to coordinate it to listening to Bobby’s mix and looking at the monitor when I could see what the video person was doing. And also there’s another part to this dream that I remember. Before any of that, I dreamt that I was having a sleep-over birthday party with Astrid and Linda and Joanna and one or two other people from the Wilcox Center. I think Arlene Thurston must have been there too. And I think we had like just woke up and we were going down to have breakfast. For some reason Linda and me and one other girl were sitting on a towel eating in front of the TV. And Linda was bugging me and bugging me and bugging me and bugging me and bugging me and bugging me, like she does, about letting her go into my studio and make a copy of a CD. And she wanted a copy of like Asa Base  and now that I think of it, I don’t know why the heck she would want that one because she doesn’t like that kind of stuff. But in my dream that’s what she wanted a copy of. And I was thinking of how, when Mom gets breakfast on and everyone’s eating breakfast, I’ll just run up there, make a copy real fast and bring it down and give to Linda so she’ll have it and I won’t have to have her mess through all my stuff and everything. And then when I got in there and I was sitting down to make the copy, I realized that I didn’t have an original, and therefore the STMS was going to scream and yell in my face, and so I had to put in my personal CD player and do an analog. And that’s when I kind of woke up. "
769,"I dreamed that I owned this ""salty bar"" with Granddaddy right next to the ocean. One day, the whole school had to sail over to China to hear some sort of lecture. I missed the boat and had to swim over. I had brought a plate of Brie, but it was filled with poisonous crabs from my trip over. I dropped the dish when I got on land, and was terrified that they would poison me. But then I told myself that this was a dream, so I kept on walking to the lecture. When I got there, it was more like SNL than a serious lecture. I couldn't understand why we'd had to travel that whole way for this. I was sitting on the stage and could see Jackson right in front of me. The lecture ended  hours early. The deans said we had to remain there for the next  hours before going back. Vanessa started whining but then everyone made fun of her, so that was OK. Then Jackson looked at me and said he loved me and I woke up."
770,"I first dreamed that my dean and I were best friends and I always went to his house to hang out. It was weird. Then I dreamed that Charla and I were in New Hampshire at Granddaddy's, and she wanted to take a boat on the lake at night. I knew it was a bad idea, but I went out with her anyway. We were  feet out into the water when I decided to turn back, because I knew this was wrong. My father had been sitting on the dock the whole time, and was proud that I had turned back. Then I dreamed that Sue and I were doing track. We finished with our warm up and this guy came up to talk to me. He was cute, sort of looked like Dylan and Nicholas put together. We were talking and flirting, and then all of a sudden, we were back at my house. He was flirting with me while we watched a movie. His name was Kevin Laradin, which is a name I've never heard or read before. Then I woke up."
771,"I dreamed that I had to reorganize the periodic table of elements, according to this really hard and horrible formula. Then I was on a boat in the middle of WWII. Then I woke up."
772," Last night I had a really stupid dream . I kind of guess I know where it came from, but man, was I stretching it or what, when I came up with this one?! Not my conscious, of course, but you know what I mean. Well, I don’t know exactly where to start because this was another one of those rambling saga-like type dreams, but I’ll start at the part that I can remember the best. I dreamt that – I think this is where it starts – I woke up at like : in the morning to go to the bathroom, and I had a dream before, but this is the only part I can remember now. Okay, I dreamt that I was in this portable classroom. I didn’t know if I was at my college or my tech school, but I was at one of them, and I was in a portable and the lights were off. And there was carpet on the floor and there were like traditional student desks. And we were going to have a presentation by Bill Putnam, who’s the sound engineer, great. He’s left us now, but in my dream he was still alive and he was going to come give a lecture. And for some reason I had this, it was listed in like a program that he was going to give a concert on a Hammond  organ, and so he came in the room, he talked to us a little, he greeted us, he was like in his ’s. He was kind of in his ’s or ’s and he kind of barely knew what he was doing. And he was talking to us, and before I knew it, he was doing this mime of like trying to show that there was these rotten eggs and how they were smelling, and there were these teddy bears, these teddy bear heads on a stick that somebody was swirling around above the supposedly rotten eggs. And there was like a little _________ things. He was doing this whole mime, and, of course, I wasn’t getting much out of it because I couldn’t see what the heck he was doing. And about three desks over, to my right, kind of in the front of the room, there was this guy, kind of like a side man with a keyboard, that was supposed to play chords and all that were going on behind the mime to kind of give it some music. And this guy was bad, to say the least! He was, I don’t know, it just sounded really, really bad and he didn’t know what he was doing either. He was just kind of like banging around, and it didn’t go with anything that was going on. And then, I don’t know what happened, but the scene just sort of like suddenly switched, and we were supposed to go on a boat trip at night. I keep having dreams that Dad and us and the family are supposed to go on this boat. And so I dreamt that we were going on a boat trip, and I don’t remember where we were going, but I know we were going to go at night. Oh, I remember – this is kind of crazy, man. I don’t know where this came from, but apparently, I think I kind of visualized this when we were out on our walks and this is where it came from, but I was supposed to be on the boat and sing and give a concert to some thousands of people who were along the shoreline and on docks and at the Coachman and the Wayne Point Park and stuff. And apparently not only was I supposed to sing, but I was supposed to play too, and I had an instrument for me there on the boat, or at least I thought they were going to have one there for me. It’s one of those things where you think it’s going to be there, but you never see it, I guess because, I don’t know, but anyway, it was supposed to be there, and it was supposed to be there, supposed to be there. And I get on this boat and it’s there, and we were getting settled and stuff and we’re ready to take off, and I’m ready to stand up there and sing to the people out there, and the instrument starts shrinking and shrinking and shrinking and shrinking and shrinking. And next thing I know it’s the size of like something for a Barbie doll. And the captain of the boat told me that I should take it home and put it in the bird cage for Archie , that he would want it and that he could benefit from it because he could learn some notes to sing. And like that’s bizarre, man. And I think that is when I woke up. Man, man, man – as _______ would say. I think I can start maybe unraveling where this dream may have come from. First of all, the Bill Putnam thing came from me reading the studio book, of course, but why he would come in and do a mime about rotten eggs? Don’t ask me! But it’s becoming more obvious to me where the singing and playing on a boat would have come from. Astrid has been making up stories about Phil Collins sailing through the Straits of Silla and Corybdus, and playing Silla’s favorite piece on the keyboard, which is, I think it is, I don’t know, it’s called “Farralene” , it goes  and a couple others, the theme of the Titanic and different things like that. And I guess seeing the boat parade, hearing her stories about that, and being down at the waterfront and visualizing a floating stage and everybody on land watching a performance out there. All that came together and made this bizarre dream. Now the shrinking, I think might be something to the effect that it seems so close, but it’s not. And, if you know what I mean, and I don’t know, just something goofy that came out of that, I guess."
773," Last night I had a dream. I know there was more to it, but this is all I can remember so far. First of all, information: sometimes when the chickens get elderly, they get kind of in poor condition, and some age better than others, I guess, just like people. But in my dream there was this white chicken and Dad wanted to wash her off on her back side because she was really getting messy. And so he was going to, he wanted to see if I could hang onto the chicken for him, and he was thinking of putting her in one of the like a harness thing, like you would a dog. And I said, “I don’t think so, Tim. I will hold the chicken with my arms and keep her from getting away.” And so, sitting on the picnic table with the chicken, she’s white, but she kind of has the build and weight of a Rhode Island Red, and they’re kind of hard to contain because we only have one left, and she’s a red Rhode Island Red, but for some reason in my dream, she was white. And I’m holding the chicken and he’s dilly dally, dilly dally, dilly dally, dilly dallying around, and I can’t figure out why. And then I say that I need to, I realize that it’s : in the afternoon and I haven’t had lunch, so and the chicken looks hungry too, believe it or not. So I tell him that he should hold the chicken for a minute so that I can go get some seeds. I went inside and got a bite of my plate and I was kind of disappointed because I was smelling fried food in the chicken, but what I got was only a baloney sandwich. Then I came back out with some seed for the chicken, and I guess that kept her busy for a few minutes, and then we continued the operation. And he was telling me how bad she was looking, how it looked like she had a ton of bacteria and stuff because one time one of our chickens was like in bad shape. And then I think we were done and I let the chicken go. And there was this truck that was going by that had sirens on it and back-up alarms going forward, and I like fell to the ground and rolled over and laid there until it passed. And I can’t remember anything more."
774,"I dreamed that Sue and I were planning to go out to dinner with  boys as our dates. My brother was organizing times and places. Sue was taking Lou, and I was going with a blind date. I walked into my room and Sophia was painting my walls this horrible color. Then I woke up."
775,I dreamed that my brother and I were buying my father a present. We were on this whitewater rafting trip and my brother and I kept laughing at him because he was playing the piano really badly. Then I woke up.
776," Last night I had a dream that we were up in the territory of my tech school and I only had like two or three days, maybe even two or three hours before I started classes there. And we were like outside in like a park area, and I had to go into the building to use the bathroom, and I needed to ask the counselor and the secretary for a calendar of like time off and stuff like that. And so I went in this like real just blah building and it was like the lady who came out wouldn’t let me go any further until I showed her my ID and I could prove that I was going to be a student in a few days. And I dreamt that there was this man counselor that I knew that she directed me towards that I had a feeling that I had had a real technical discussion with before, and that I felt real comfortable with. And he wanted to know if I had decided what kind of mixer board was best for me, and I told him I hadn’t yet. And I got the calendar and I went back outside and then I woke up."
777,"I dreamed that Sue and I were going to some party and it was really exciting because Lou was going to be there. But all the awful girls weren't. So it was a really big deal for some reason. I had this long discussion about it with my parents. I showered before I went out, but I hit my head on the faucet. I fell over and couldn't go and was really upset. Then I woke up."
778," I don’t know if this is all going to fit, but I’m going to try. Last night I had a dream that I was at this theme park, and I can remember bits and pieces of it. Bad me – I let it drag on until it’s : o’clock in the afternoon now, but I didn’t have time to record it this morning when I first woke up. So I dreamt that I was at a theme park with Elizabeth, and it was kind of a school field trip like type thing. And there was this ride called the Kumba Roller Coaster – it was either the Kumba or the Montu – it was kind of like Tyme Gardens. And we’d go on this roller coaster and we’d roller coaster around. It would be an “Ahhhhhhhhhh!” thrill ride. There was also this ride that I liked that was a slide that would like spray you with water as you were sliding down this big, tall slide, and you’d hear these really cool sounds as you were going by, like it had a really neat sound system, which that and spraying water just don’t go together, but maybe they did. I think I heard something like that at some kind of theme park, and that’s where I got the idea from. And once you got down to the bottom of this big slide, you’d fall into this swimming pool that was really deep and you swam to the other end, and that was okay. And we only had a little bit of time left, but I wanted Elizabeth to go on this slide with me, and she said, “No, no, I’m too chicken; you have to go by yourself.” And so I went, but it was kind of funny because the slide wouldn’t spray me with the water and there was no sound. All that it was, was that you could slide down the slide and that was it. And I imagined in my dream that this slide was pink and that the pool was pink, instead of blue like they usually are. And so, sorry folks, the tape is coming to an end. I will start over on the next one. Alright, I don’t expect this tape to last me more than about a month’s worth of material, maybe even less, but it’s just a junky marketing tape anyway, and it’s no good for anything else, and this is better than having it thrown in the garbage. So, let us begin! I am going to start over and repeat a dream that I wasn’t able to fit on the last tape. It is now close to : o’clock at night and I am kind of fortunate that even part of it has stayed with me this long because I just didn’t have the time to do it this morning. So anyway, I dreamt that I was at this amusement park, and I was there with Elizabeth, and it was kind of like Tyme Gardens, except in my dream it didn’t really have a name. And we were like on this school field trip and her and I were kind of running around together, and I think everybody else kind of just ditched us. And we were like running around going on these rides. There was this huge, open park picnic area in the middle of the park that kind of reminded me of my college Quad, except that it had picnic tables and stuff and like amusement park type fencing and white-colored tables. And there was this one ride that was like the Mod II or the Kumba, and it was just a roller coaster. You would have to walk up very high to get to it though, like a boardwalk; you’d have to climb stairs and go up ramps and snakes and winds, kind of like you have to do when you’re at a theme park, except this was all in the open and on a like a wooden boardwalk. And I wanted to get Elizabeth to go on that, and I think maybe we did, but I have no memory of actually being on a ride. Then there was this other ride that I really, really liked supposedly, and it was supposedly a pink slide that you would slide down and it would spray you with water from the side, and you’d hear these really cool sounds as you’d be going by. Now spraying water and a cool sound system don’t exactly go together, but, you know, in theme parks sometimes they may have everything all water-tight. And I was trying to get Elizabeth to go down this slide with me because we only had a little bit of time left and I wanted to make us do this before we had to go. And the slide was pink and I went down it; she was too chicken. And it didn’t spray and the water and it didn’t make the sounds. It was just like a slide, because I think the park was like going to close, but I didn’t feel like it was. And then I like landed in this pool of water, like you would expect at most theme park rides, slide things, and when I first landed in it, the pool had a pink bottom instead of a blue bottom like they usually do. And then as I was swimming behind this other girl, and I became aware that I was swimming over like a grate venting and my feet were about to touch the bottom, then the pool turned blue like they usually are. And you know how in dreams when you dream about swimming, or at least I do, the water like tosses you around and you like, you sink to the bottom as though gravity were holding you down, but you can still breathe by some miracle? This is how I always dream when I dream about swimming in a pool. I don’t know why. Usually the water wants to pull me up because I’m a female and I have the female fat buoyancy thing. Dad just sinks like a rock. But anyway, I have to really fight to get down and stay down if I want to dive under water, but in my dream I just sort of sink and I can still breathe. But anyway, enough of that. And so, I don’t know how I got myself like all dried off and everything in such a hurry, but we went back to this like classroom that was at the theme park and there was a TV, they were going to show a movie. And I was kind of thinking, “I want to sit where I can see the movie,” because I thought it was going to be halfway interesting, but Elizabeth said, “Nah, nah, let’s sit over here in this section where we can goof around and nobody will see us!” And it was close to one of those like candy machines that they have at my college. And before anything else could happen, I woke up."
779,"I dreamed that I fell asleep right next to Lou, but that I woke up next to Jackson! I actually woke up alone."
780,"I dreamed that I had to write an essay in Spanish about the most embarrassing thing to ever happen to me. I remember saying to myself ""Tengo que escribir un ensayo sobre un dia cuando soy..."" But I couldn't remember the word for embarrassment. Then it hit me --verguenza! And I woke myself up muttering ""verguenza"" in real life. Weird."
781," Last night I guess you could say I had kind of a typical dream, something you would expect from somebody who has a class that they’re going to the next day. I was dreaming that I was up at the right time and all and waiting for the cab, but instead of the cab coming for me, Elizabeth and Chelsea showed up at the door, and Mom and I got in their van thing, and we were riding along and Elizabeth and Chelsea decided to take us to Mr. Denton’s house. Mr. Denton was my economics teaching in my senior year that, I don’t know, he thought I was the greatest thing since sliced bread, but all his kids were really kind of “blah” anyway, and so was his class. And so he thought I was just so intelligent and so wonderful, but anyway, we went to Mr. Denton’s house and they took a bunch of pictures. And he still had his Christmas things up. And we, I was looking at his little village scene set up things and they were really cool. And then we went to the beach, of all places. And we bummed around at the beach, and we were talking about various different things, I can’t remember what. And then finally they decided that they were going to take me back to class, and I got there in time for Speech class, but I had totally skipped Ethics class. And I was trying to persuade Mom not to show the pictures from Mr. Denton’s class to Dad because he would know that I skipped Ethics class. And I think Mom and Elizabeth and Chelsea were going to go somewhere and they were going to come back for me for lunch, but I woke up before any of that happened. Oh, and I dreamt that I was real afraid because the cab people were going to say I was a no-show, so they’d automatically cancel the return trip, and so Mom and Elizabeth and Chelsea were going to come and get me and we were going to go have some more fun after my class. And then I woke up."
782,I dreamed I was Julia Stiles.
783," Last night I had a messed up dream, man! It was just so kind of whacked out. I don’t know where it came from really, but then maybe I do. I dreamt that I finally got the gift that I had been wanting for some time. And, you know, I’ve been having these dreams. So I finally had it, and it was finally in my closet and I was so proud. And Dad was going to help me set it up in my sound studio, but first I had to learn how to flush the toilet without making it clog up. And the trick of it was you had to hold down the handle until just after the stuff had made it down, and then let it go immediately after that. And if you didn’t let it go, or you let it go too soon, the whole thing would be for naught, which for real life, in both of our toilets, we have to hold it down, but it’s not the end of the world if we let it go too soon. So a couple, I tried it like three times, but it didn’t really work right, and we had this big Jacuzzi like tub in the upstairs bathroom and Dad had to take a dream clog stopper out of the tub to kind of let some more air into the pipes, I guess. That was crazy. And, oh my gosh, there was a big flash of lightning outside. But anyway, I can’t remember what happened after that, but somebody was going on a plane somewhere. I think it wasn’t going to be Mom and I going up to my relative’s home town. I think it was going to be Dad and Mom going somewhere, and I was finally going to get to investigate my gift. And I woke up before any of that could happen and realized it was a dream. If I keep having all these stupid dreams, I’m not going to know the real thing if it does happen. "
784,"I had the worst dream ever. I dreamed that I was at some sort of camp, but it was military/boot camp. We were running laps around the track until I thought I was going to be sick. Then I got news that both my mother and father had died. I freaked out. But the guy kept making me run more laps. So then I threw up and I told myself that this had to be a dream. But I couldn't wake myself up. So then we had to sail down this river. But my boat got lost and I had to swim against the current. Thank god I woke up."
